Restaurant Name,Location,Cuisine,Secondary Cuisine,Price Range,Dish,Price
Zaiqa,Kolkata,Gujarati,Coastal,₹1000-₹2000,Sambar Vada,1555
Royal H,Bengaluru,Bengali,Coastal,₹200-₹500,Kebabs,1571
Relish,Hyderabad,Mughlai,Awadhi,₹100-₹300,Haleem,1287
Rasoi,Jaipur,Street Food,Chaat,₹200-₹500,Chicken Tikka,541
Relish,Ahmedabad,West Indian,Tandoori,₹1000-₹2000,Filter Coffee,143
Zaiqa,Ahmedabad,North Indian,Chaat,₹1000-₹2000,Kosha Mangsho,1145
Dosa M,Mumbai,Seafood,Awadhi,₹700-₹1500,Sambar Vada,1465
Rasoi K,Jaipur,West Indian,Tandoori,₹500-₹1000,Sambar Vada,1937
Relish,Chennai,North Indian,Chaat,₹700-₹1500,Chole Bhature,1399
Dosa,Mumbai,Rajasthani,Chaat,₹1000-₹2000,Kebabs,877
Dosa,Hyderabad,West Indian,Coastal,₹700-₹1500,Laal Maas,666
Taj,Ahmedabad,West Indian,Tandoori,₹500-₹1000,Pav Bhaji,584
Swad,Kolkata,Gujarati,Coastal,₹1000-₹2000,Laal Maas,125
Royal,Lucknow,South Indian,Chaat,₹300-₹700,Chicken Tikka,1587
Taj,Kolkata,Street Food,Tandoori,₹500-₹1000,Butter Chicken,84
Zaiqa,Chennai,West Indian,Coastal,₹1000-₹2000,Pav Bhaji,802
Zaiqa,Jaipur,Rajasthani,Chaat,₹1000-₹2000,Plain Dosa,1120
Rasoi,Bengaluru,Hyderabadi,Mughlai,₹500-₹1000,Sambar Vada,1445
Dosa R,Lucknow,West Indian,Awadhi,₹500-₹1000,Laal Maas,1753
Feast,Chennai,South Indian,Mughlai,₹700-₹1500,Sambar Vada,1499
Flavors,Hyderabad,Rajasthani,Chaat,₹1000-₹2000,Dhokla,377
Swad,Jaipur,Mughlai,Awadhi,₹500-₹1000,Kebabs,1983
Flavors,Delhi,Hyderabadi,Awadhi,₹200-₹500,Prawn Curry,1286
Rasoi W,Kolkata,Seafood,Awadhi,₹300-₹700,Prawn Curry,871
Feast X,Jaipur,Mughlai,Tandoori,₹100-₹300,Plain Dosa,1163
Dosa,Chennai,Rajasthani,Chaat,₹300-₹700,Laal Maas,1029
Zaiqa,Mumbai,North Indian,Awadhi,₹100-₹300,Masala Dosa,849
Rasoi,Ahmedabad,Bengali,Chaat,₹100-₹300,Chicken Tikka,692
Dosa,Jaipur,Mughlai,Tandoori,₹700-₹1500,Biryani,1858
Dosa B,Jaipur,West Indian,Chaat,₹1000-₹2000,Gulab Jamun,1808
Feast,Bengaluru,South Indian,Coastal,₹200-₹500,Dahi Vada,1823
Relish,Mumbai,Street Food,Coastal,₹300-₹700,Plain Dosa,627
Swad,Mumbai,Bengali,Awadhi,₹1000-₹2000,Sambar Vada,1324
Spice N,Lucknow,North Indian,Tandoori,₹500-₹1000,Pav Bhaji,871
Dosa R,Ahmedabad,Seafood,Awadhi,₹1000-₹2000,Filter Coffee,1366
Zaiqa,Pune,Seafood,Chaat,₹500-₹1000,Chole Bhature,922
Royal,Mumbai,Rajasthani,Tandoori,₹1000-₹2000,Butter Chicken,861
Relish C,Ahmedabad,Seafood,Mughlai,₹200-₹500,Prawn Curry,829
Flavors X,Hyderabad,Gujarati,Chaat,₹300-₹700,Laal Maas,502
Spice,Lucknow,Seafood,Chaat,₹1000-₹2000,Pav Bhaji,1332
Feast,Kolkata,Hyderabadi,Tandoori,₹200-₹500,Butter Chicken,1112
Flavors N,Kolkata,Bengali,Chaat,₹300-₹700,Dhokla,886
Zaiqa,Bengaluru,Bengali,Awadhi,₹300-₹700,Plain Dosa,749
Relish,Ahmedabad,North Indian,,₹1000-₹2000,Biryani,168
Feast,Kolkata,West Indian,Chaat,₹1000-₹2000,Prawn Curry,219
Royal,Lucknow,South Indian,Awadhi,₹1000-₹2000,Biryani,546
Flavors,Ahmedabad,Gujarati,Tandoori,₹200-₹500,Solkadi,427
Royal Q,Bengaluru,Mughlai,Chaat,₹300-₹700,Chicken Tikka,871
Royal,Kolkata,Gujarati,Awadhi,₹700-₹1500,Prawn Curry,1183
Rasoi,Pune,Bengali,Tandoori,₹200-₹500,Chicken Tikka,324
Relish,Lucknow,Rajasthani,Awadhi,₹200-₹500,Kosha Mangsho,1003
Relish,Bengaluru,Mughlai,Tandoori,₹1000-₹2000,Solkadi,1316
Flavors P,Hyderabad,Mughlai,Chaat,₹1000-₹2000,Prawn Curry,561
Flavors M,Lucknow,Hyderabadi,Tandoori,₹300-₹700,Prawn Curry,382
Royal,Jaipur,South Indian,,₹1000-₹2000,Butter Chicken,250
Royal,Delhi,South Indian,Awadhi,₹100-₹300,Haleem,383
Swad,Pune,North Indian,Tandoori,₹500-₹1000,Biryani,388
Dosa A,Lucknow,Hyderabadi,Awadhi,₹700-₹1500,Dahi Vada,797
Zaiqa,Jaipur,Rajasthani,,₹500-₹1000,Dhokla,1014
Swad,Pune,Street Food,Tandoori,₹300-₹700,Solkadi,1827
Relish,Lucknow,West Indian,Tandoori,₹500-₹1000,Kosha Mangsho,1731
Swad,Chennai,West Indian,Awadhi,₹200-₹500,Dhokla,1882
Spice,Lucknow,Seafood,,₹700-₹1500,Filter Coffee,1920
Feast N,Jaipur,North Indian,,₹700-₹1500,Solkadi,1887
Dosa,Lucknow,North Indian,Mughlai,₹700-₹1500,Kebabs,1078
Royal S,Jaipur,South Indian,Mughlai,₹1000-₹2000,Gulab Jamun,637
Rasoi,Delhi,West Indian,Chaat,₹200-₹500,Haleem,1492
Dosa,Bengaluru,Hyderabadi,Chaat,₹1000-₹2000,Butter Chicken,814
Rasoi S,Pune,Seafood,Tandoori,₹300-₹700,Biryani,227
Flavors,Jaipur,Seafood,Coastal,₹500-₹1000,Plain Dosa,1078
Relish,Hyderabad,Rajasthani,Awadhi,₹300-₹700,Butter Chicken,1379
Relish Z,Kolkata,Bengali,Mughlai,₹500-₹1000,Pav Bhaji,1974
Taj T,Chennai,Rajasthani,,₹1000-₹2000,Sambar Vada,1622
Feast S,Delhi,Hyderabadi,Awadhi,₹100-₹300,Solkadi,1448
Swad V,Jaipur,Gujarati,Coastal,₹100-₹300,Sambar Vada,1855
Relish,Pune,South Indian,Tandoori,₹500-₹1000,Plain Dosa,1377
Rasoi,Lucknow,Seafood,Coastal,₹200-₹500,Pav Bhaji,1265
Flavors,Chennai,Gujarati,Awadhi,₹100-₹300,Pav Bhaji,867
Spice,Ahmedabad,West Indian,Coastal,₹300-₹700,Kosha Mangsho,181
Swad,Bengaluru,Hyderabadi,,₹1000-₹2000,Dhokla,1423
Feast T,Lucknow,Street Food,Tandoori,₹700-₹1500,Haleem,1480
Taj,Delhi,Gujarati,,₹1000-₹2000,Laal Maas,381
Spice,Kolkata,Bengali,Awadhi,₹1000-₹2000,Gulab Jamun,1250
Feast J,Ahmedabad,Gujarati,Mughlai,₹300-₹700,Filter Coffee,691
Relish K,Hyderabad,South Indian,Chaat,₹100-₹300,Pav Bhaji,482
Rasoi,Chennai,West Indian,Chaat,₹100-₹300,Solkadi,84
Flavors S,Jaipur,Mughlai,,₹100-₹300,Dahi Vada,1939
Spice,Jaipur,Gujarati,Awadhi,₹100-₹300,Laal Maas,384
Flavors,Jaipur,Hyderabadi,Tandoori,₹500-₹1000,Haleem,1684
Taj U,Lucknow,Gujarati,Mughlai,₹300-₹700,Plain Dosa,1511
Feast,Lucknow,Mughlai,Mughlai,₹200-₹500,Prawn Curry,1212
Spice,Ahmedabad,Street Food,Tandoori,₹700-₹1500,Dhokla,1240
Taj E,Ahmedabad,Seafood,Mughlai,₹500-₹1000,Kosha Mangsho,53
Taj,Jaipur,North Indian,Mughlai,₹700-₹1500,Sambar Vada,1348
Swad,Hyderabad,North Indian,Awadhi,₹200-₹500,Dahi Vada,1014
Zaiqa X,Chennai,Gujarati,Coastal,₹300-₹700,Kebabs,1638
Flavors,Lucknow,South Indian,Tandoori,₹700-₹1500,Gulab Jamun,1670
Zaiqa M,Jaipur,West Indian,Coastal,₹500-₹1000,Solkadi,1645
Relish D,Hyderabad,West Indian,,₹300-₹700,Dahi Vada,996
Flavors,Delhi,Seafood,Mughlai,₹1000-₹2000,Kosha Mangsho,1857
Rasoi,Bengaluru,Seafood,Tandoori,₹200-₹500,Sambar Vada,1639
Zaiqa,Jaipur,South Indian,,₹100-₹300,Laal Maas,288
Zaiqa,Ahmedabad,Bengali,Awadhi,₹700-₹1500,Kosha Mangsho,100
Royal,Pune,Seafood,,₹1000-₹2000,Sambar Vada,1297
Taj,Hyderabad,Gujarati,Coastal,₹500-₹1000,Chicken Tikka,350
Zaiqa,Pune,Gujarati,Mughlai,₹700-₹1500,Pav Bhaji,1663
Flavors,Bengaluru,West Indian,Tandoori,₹500-₹1000,Dahi Vada,371
Swad,Ahmedabad,Street Food,Tandoori,₹100-₹300,Dahi Vada,1536
Dosa O,Kolkata,North Indian,,₹300-₹700,Prawn Curry,594
Taj,Lucknow,South Indian,Awadhi,₹200-₹500,Butter Chicken,159
Flavors,Pune,Hyderabadi,Chaat,₹500-₹1000,Prawn Curry,600
Rasoi A,Hyderabad,Seafood,Awadhi,₹700-₹1500,Chole Bhature,783
Relish,Pune,Rajasthani,Tandoori,₹500-₹1000,Chicken Tikka,1276
Feast,Lucknow,Rajasthani,Tandoori,₹200-₹500,Laal Maas,249
Taj,Mumbai,Street Food,,₹300-₹700,Sambar Vada,833
Dosa E,Delhi,Rajasthani,Awadhi,₹500-₹1000,Kosha Mangsho,1942
Feast Y,Lucknow,South Indian,Chaat,₹300-₹700,Biryani,1633
Flavors I,Chennai,Bengali,,₹1000-₹2000,Kebabs,843
Swad,Bengaluru,Hyderabadi,Chaat,₹200-₹500,Pav Bhaji,1205
Zaiqa,Bengaluru,North Indian,,₹700-₹1500,Biryani,870
Feast R,Delhi,Rajasthani,Mughlai,₹700-₹1500,Dhokla,1952
Rasoi,Hyderabad,Rajasthani,Awadhi,₹300-₹700,Laal Maas,817
Rasoi F,Jaipur,Gujarati,,₹700-₹1500,Plain Dosa,433
Dosa,Bengaluru,Gujarati,Coastal,₹100-₹300,Haleem,350
Zaiqa V,Pune,Seafood,,₹300-₹700,Masala Dosa,439
Spice,Bengaluru,Mughlai,,₹300-₹700,Kosha Mangsho,1191
Relish,Pune,Seafood,Mughlai,₹100-₹300,Sambar Vada,1129
Flavors,Kolkata,Gujarati,Coastal,₹500-₹1000,Laal Maas,1871
Relish Y,Lucknow,Mughlai,Chaat,₹1000-₹2000,Biryani,684
Dosa Y,Delhi,Seafood,Awadhi,₹700-₹1500,Chicken Tikka,957
Feast,Pune,South Indian,Chaat,₹500-₹1000,Gulab Jamun,314
Feast T,Hyderabad,Rajasthani,Awadhi,₹200-₹500,Sambar Vada,417
Taj,Mumbai,Street Food,Mughlai,₹300-₹700,Sambar Vada,917
Spice P,Delhi,Gujarati,Chaat,₹1000-₹2000,Haleem,977
Swad,Hyderabad,Hyderabadi,Coastal,₹500-₹1000,Masala Dosa,1836
Swad,Delhi,Street Food,Chaat,₹700-₹1500,Dhokla,1274
Taj X,Delhi,Street Food,Mughlai,₹700-₹1500,Solkadi,1525
Spice,Chennai,Street Food,Coastal,₹500-₹1000,Butter Chicken,609
Flavors U,Ahmedabad,North Indian,,₹500-₹1000,Pav Bhaji,1681
Flavors,Jaipur,Seafood,Awadhi,₹200-₹500,Chicken Tikka,1234
Flavors,Mumbai,Bengali,Awadhi,₹700-₹1500,Kebabs,968
Taj,Ahmedabad,Hyderabadi,Coastal,₹200-₹500,Dahi Vada,1458
Dosa W,Bengaluru,Hyderabadi,Chaat,₹500-₹1000,Laal Maas,1365
Spice,Hyderabad,Street Food,Chaat,₹300-₹700,Kosha Mangsho,187
Feast,Lucknow,Gujarati,Tandoori,₹700-₹1500,Pav Bhaji,973
Royal O,Hyderabad,Seafood,Tandoori,₹300-₹700,Pav Bhaji,822
Royal,Kolkata,Street Food,,₹1000-₹2000,Butter Chicken,242
Taj,Ahmedabad,Seafood,Coastal,₹100-₹300,Laal Maas,721
Swad Y,Pune,South Indian,Coastal,₹300-₹700,Filter Coffee,880
Feast,Chennai,Street Food,Mughlai,₹700-₹1500,Butter Chicken,1825
Feast O,Jaipur,Hyderabadi,Awadhi,₹100-₹300,Chole Bhature,1596
Swad,Mumbai,Seafood,Chaat,₹100-₹300,Pav Bhaji,164
Swad,Chennai,Seafood,Mughlai,₹500-₹1000,Masala Dosa,1002
Relish,Ahmedabad,Bengali,Coastal,₹200-₹500,Prawn Curry,1646
Rasoi W,Mumbai,Rajasthani,Awadhi,₹500-₹1000,Sambar Vada,626
Dosa K,Delhi,West Indian,Chaat,₹100-₹300,Plain Dosa,1840
Feast,Hyderabad,North Indian,Chaat,₹200-₹500,Plain Dosa,723
Swad,Jaipur,Seafood,,₹100-₹300,Laal Maas,512
Swad,Ahmedabad,West Indian,Awadhi,₹1000-₹2000,Masala Dosa,71
Taj,Hyderabad,Street Food,Awadhi,₹300-₹700,Masala Dosa,1867
Rasoi,Delhi,South Indian,,₹300-₹700,Sambar Vada,1216
Taj,Hyderabad,Rajasthani,Tandoori,₹1000-₹2000,Plain Dosa,753
Zaiqa,Lucknow,Mughlai,,₹700-₹1500,Chicken Tikka,1303
Relish,Mumbai,Mughlai,Coastal,₹300-₹700,Chole Bhature,1723
Royal,Ahmedabad,Hyderabadi,Mughlai,₹500-₹1000,Prawn Curry,804
Spice,Lucknow,Gujarati,Coastal,₹700-₹1500,Dhokla,1864
Zaiqa,Ahmedabad,South Indian,Awadhi,₹500-₹1000,Haleem,75
Zaiqa R,Lucknow,Gujarati,Tandoori,₹1000-₹2000,Chole Bhature,1183
Taj F,Pune,North Indian,Awadhi,₹1000-₹2000,Kebabs,1703
Swad,Lucknow,Gujarati,Mughlai,₹700-₹1500,Dahi Vada,1202
Flavors,Jaipur,Bengali,Awadhi,₹1000-₹2000,Chicken Tikka,1429
Feast U,Lucknow,North Indian,Coastal,₹700-₹1500,Kosha Mangsho,1112
Dosa,Delhi,Hyderabadi,Mughlai,₹700-₹1500,Gulab Jamun,227
Taj U,Ahmedabad,South Indian,Chaat,₹100-₹300,Prawn Curry,64
Relish,Bengaluru,South Indian,Awadhi,₹700-₹1500,Plain Dosa,400
Feast Q,Ahmedabad,Rajasthani,,₹200-₹500,Chicken Tikka,757
Swad,Mumbai,Rajasthani,Chaat,₹500-₹1000,Sambar Vada,1786
Spice,Kolkata,North Indian,Awadhi,₹200-₹500,Biryani,921
Spice,Hyderabad,West Indian,Mughlai,₹300-₹700,Pav Bhaji,660
Feast C,Delhi,South Indian,Tandoori,₹500-₹1000,Plain Dosa,273
Zaiqa,Ahmedabad,Bengali,Coastal,₹300-₹700,Prawn Curry,122
Rasoi Q,Chennai,Street Food,Tandoori,₹100-₹300,Solkadi,266
Spice,Bengaluru,North Indian,Tandoori,₹700-₹1500,Chicken Tikka,688
Dosa D,Kolkata,Hyderabadi,,₹500-₹1000,Chole Bhature,1824
Flavors,Hyderabad,South Indian,Tandoori,₹200-₹500,Masala Dosa,1773
Spice,Lucknow,South Indian,Coastal,₹300-₹700,Pav Bhaji,963
Swad K,Kolkata,Rajasthani,Chaat,₹700-₹1500,Chicken Tikka,1291
Spice O,Lucknow,South Indian,,₹1000-₹2000,Haleem,1472
Taj P,Chennai,North Indian,Coastal,₹100-₹300,Gulab Jamun,702
Royal,Bengaluru,Hyderabadi,Mughlai,₹200-₹500,Sambar Vada,1099
Relish,Jaipur,Seafood,Chaat,₹1000-₹2000,Filter Coffee,530
Rasoi,Lucknow,North Indian,Awadhi,₹200-₹500,Gulab Jamun,117
Feast,Mumbai,Seafood,Awadhi,₹700-₹1500,Kebabs,1252
Rasoi,Hyderabad,Gujarati,,₹300-₹700,Kebabs,484
Taj,Ahmedabad,Mughlai,Coastal,₹100-₹300,Dahi Vada,656
Swad,Jaipur,South Indian,Awadhi,₹500-₹1000,Butter Chicken,906
Spice,Pune,Mughlai,Awadhi,₹300-₹700,Prawn Curry,100
Relish U,Chennai,Rajasthani,Mughlai,₹200-₹500,Dhokla,265
Flavors,Bengaluru,Rajasthani,Tandoori,₹200-₹500,Chole Bhature,1858
Taj Q,Kolkata,Bengali,Awadhi,₹700-₹1500,Kebabs,63
Zaiqa,Bengaluru,Hyderabadi,Mughlai,₹500-₹1000,Filter Coffee,1468
Dosa D,Hyderabad,Rajasthani,Awadhi,₹300-₹700,Plain Dosa,946
Royal,Kolkata,South Indian,,₹100-₹300,Solkadi,171
Flavors,Chennai,Bengali,,₹100-₹300,Dahi Vada,911
Swad,Bengaluru,Rajasthani,Chaat,₹300-₹700,Laal Maas,1208
Spice,Bengaluru,North Indian,Mughlai,₹200-₹500,Chole Bhature,937
Rasoi W,Chennai,Gujarati,Mughlai,₹500-₹1000,Prawn Curry,1433
Rasoi,Jaipur,West Indian,Coastal,₹100-₹300,Masala Dosa,1394
Flavors,Hyderabad,Seafood,Coastal,₹500-₹1000,Kebabs,1604
Swad E,Delhi,Hyderabadi,Mughlai,₹300-₹700,Kosha Mangsho,1658
Relish,Mumbai,Gujarati,Awadhi,₹1000-₹2000,Haleem,760
Flavors,Delhi,Bengali,Awadhi,₹700-₹1500,Filter Coffee,652
Relish,Jaipur,Seafood,Tandoori,₹700-₹1500,Laal Maas,216
Flavors,Mumbai,Street Food,,₹500-₹1000,Biryani,825
Royal,Pune,Street Food,Chaat,₹200-₹500,Kebabs,1195
Feast N,Kolkata,Bengali,Awadhi,₹1000-₹2000,Dahi Vada,475
Relish,Ahmedabad,West Indian,Tandoori,₹1000-₹2000,Kebabs,833
Zaiqa,Kolkata,Street Food,Coastal,₹100-₹300,Butter Chicken,182
Rasoi,Chennai,Hyderabadi,Coastal,₹500-₹1000,Chole Bhature,1065
Dosa Z,Delhi,Rajasthani,Tandoori,₹1000-₹2000,Masala Dosa,522
Taj,Hyderabad,Gujarati,Tandoori,₹300-₹700,Chicken Tikka,56
Royal,Hyderabad,West Indian,Coastal,₹500-₹1000,Kebabs,1292
Royal,Chennai,South Indian,Tandoori,₹500-₹1000,Prawn Curry,1994
Swad,Jaipur,North Indian,,₹300-₹700,Plain Dosa,1842
Swad,Ahmedabad,Mughlai,,₹300-₹700,Gulab Jamun,314
Feast L,Mumbai,North Indian,,₹500-₹1000,Kosha Mangsho,427
Spice,Lucknow,Street Food,Awadhi,₹100-₹300,Dhokla,1944
Dosa,Hyderabad,Hyderabadi,,₹1000-₹2000,Sambar Vada,112
Relish,Jaipur,Bengali,Mughlai,₹700-₹1500,Kebabs,449
Feast,Mumbai,Gujarati,Mughlai,₹1000-₹2000,Butter Chicken,1372
Rasoi,Chennai,Bengali,Tandoori,₹300-₹700,Kosha Mangsho,1881
Dosa T,Mumbai,Seafood,,₹1000-₹2000,Butter Chicken,967
Swad Q,Pune,North Indian,,₹700-₹1500,Plain Dosa,156
Rasoi,Kolkata,North Indian,,₹300-₹700,Kosha Mangsho,1030
Relish,Bengaluru,Hyderabadi,Coastal,₹700-₹1500,Masala Dosa,800
Rasoi G,Mumbai,West Indian,Tandoori,₹200-₹500,Pav Bhaji,1237
Zaiqa,Ahmedabad,Gujarati,Tandoori,₹200-₹500,Kebabs,1396
Zaiqa,Pune,Bengali,Chaat,₹500-₹1000,Laal Maas,271
Zaiqa G,Pune,Seafood,Awadhi,₹300-₹700,Masala Dosa,1038
Royal S,Pune,Bengali,Mughlai,₹300-₹700,Kosha Mangsho,1552
Royal P,Chennai,Street Food,Chaat,₹500-₹1000,Filter Coffee,836
Dosa M,Ahmedabad,Gujarati,Coastal,₹100-₹300,Dahi Vada,175
Feast W,Chennai,Street Food,Tandoori,₹500-₹1000,Dhokla,1847
Flavors Z,Ahmedabad,Street Food,Coastal,₹1000-₹2000,Haleem,1374
Flavors,Lucknow,West Indian,,₹200-₹500,Pav Bhaji,1907
Taj,Hyderabad,South Indian,Tandoori,₹500-₹1000,Solkadi,1844
Dosa,Lucknow,Street Food,,₹300-₹700,Masala Dosa,1918
Dosa R,Delhi,North Indian,Awadhi,₹700-₹1500,Laal Maas,1084
Flavors,Kolkata,Bengali,Coastal,₹1000-₹2000,Sambar Vada,857
Feast O,Ahmedabad,South Indian,Chaat,₹100-₹300,Plain Dosa,1018
Rasoi,Pune,Bengali,Chaat,₹500-₹1000,Dhokla,905
Spice,Hyderabad,North Indian,Chaat,₹500-₹1000,Dahi Vada,636
Flavors A,Mumbai,Seafood,Mughlai,₹500-₹1000,Plain Dosa,1325
Taj,Delhi,Gujarati,,₹700-₹1500,Biryani,1219
Feast,Delhi,Bengali,Coastal,₹300-₹700,Kosha Mangsho,880
Relish,Lucknow,Gujarati,Tandoori,₹200-₹500,Masala Dosa,553
Zaiqa,Pune,Seafood,Chaat,₹300-₹700,Kebabs,66
Flavors,Jaipur,Hyderabadi,Mughlai,₹500-₹1000,Solkadi,422
Feast,Bengaluru,North Indian,Tandoori,₹200-₹500,Kosha Mangsho,488
Relish F,Pune,Hyderabadi,Mughlai,₹1000-₹2000,Laal Maas,1136
Zaiqa,Jaipur,Hyderabadi,Tandoori,₹300-₹700,Laal Maas,1067
Relish A,Mumbai,Gujarati,,₹500-₹1000,Gulab Jamun,1011
Taj,Ahmedabad,South Indian,Coastal,₹500-₹1000,Plain Dosa,1774
Relish,Jaipur,Gujarati,Coastal,₹200-₹500,Sambar Vada,1935
Relish Y,Bengaluru,Bengali,Mughlai,₹100-₹300,Chole Bhature,1300
Flavors,Delhi,Mughlai,Tandoori,₹700-₹1500,Prawn Curry,1835
Swad,Ahmedabad,Rajasthani,Awadhi,₹100-₹300,Chole Bhature,1165
Taj,Delhi,South Indian,Mughlai,₹300-₹700,Sambar Vada,488
Feast,Hyderabad,Bengali,Chaat,₹300-₹700,Butter Chicken,1615
Zaiqa,Pune,West Indian,Awadhi,₹300-₹700,Dhokla,184
Flavors,Bengaluru,Mughlai,Chaat,₹100-₹300,Filter Coffee,217
Dosa,Chennai,Bengali,Chaat,₹300-₹700,Haleem,1056
Flavors P,Pune,South Indian,Chaat,₹1000-₹2000,Sambar Vada,942
Feast,Mumbai,Gujarati,Mughlai,₹1000-₹2000,Kebabs,785
Swad,Mumbai,West Indian,Coastal,₹700-₹1500,Dhokla,1021
Rasoi J,Ahmedabad,Street Food,Chaat,₹100-₹300,Chole Bhature,1502
Flavors Y,Delhi,Gujarati,Awadhi,₹500-₹1000,Biryani,79
Taj,Kolkata,Bengali,Tandoori,₹500-₹1000,Plain Dosa,1745
Dosa,Delhi,Rajasthani,Awadhi,₹500-₹1000,Gulab Jamun,1336
Dosa C,Mumbai,Street Food,Chaat,₹500-₹1000,Chole Bhature,420
Taj,Chennai,Rajasthani,Mughlai,₹1000-₹2000,Filter Coffee,337
Rasoi,Mumbai,Seafood,Chaat,₹500-₹1000,Masala Dosa,220
Zaiqa,Ahmedabad,Seafood,,₹200-₹500,Butter Chicken,1402
Feast,Kolkata,Seafood,Mughlai,₹200-₹500,Butter Chicken,431
Rasoi,Chennai,Rajasthani,,₹300-₹700,Kebabs,327
Spice H,Hyderabad,Seafood,Awadhi,₹700-₹1500,Solkadi,1160
Zaiqa,Pune,Bengali,,₹700-₹1500,Filter Coffee,469
Dosa,Kolkata,Rajasthani,Coastal,₹300-₹700,Chicken Tikka,1940
Taj,Bengaluru,Rajasthani,Tandoori,₹1000-₹2000,Filter Coffee,243
Relish,Delhi,Street Food,Awadhi,₹500-₹1000,Prawn Curry,1442
Taj,Chennai,Mughlai,Awadhi,₹100-₹300,Plain Dosa,1199
Royal,Ahmedabad,West Indian,Tandoori,₹100-₹300,Biryani,139
Taj,Pune,Gujarati,,₹100-₹300,Sambar Vada,1070
Flavors,Chennai,North Indian,,₹200-₹500,Chole Bhature,1701
Royal,Kolkata,Bengali,Coastal,₹500-₹1000,Prawn Curry,475
Dosa C,Jaipur,Gujarati,Mughlai,₹700-₹1500,Gulab Jamun,528
Swad,Hyderabad,Gujarati,,₹1000-₹2000,Masala Dosa,470
Relish,Ahmedabad,West Indian,Coastal,₹300-₹700,Dhokla,1759
Flavors,Kolkata,Hyderabadi,Chaat,₹100-₹300,Dahi Vada,794
Zaiqa B,Hyderabad,Bengali,,₹100-₹300,Dahi Vada,971
Rasoi B,Kolkata,Gujarati,Coastal,₹700-₹1500,Laal Maas,1866
Royal,Mumbai,Rajasthani,Awadhi,₹300-₹700,Pav Bhaji,1929
Swad,Delhi,Seafood,Chaat,₹100-₹300,Prawn Curry,1072
Feast,Delhi,Mughlai,Mughlai,₹1000-₹2000,Gulab Jamun,1641
Dosa,Jaipur,Bengali,Awadhi,₹500-₹1000,Masala Dosa,158
Zaiqa,Ahmedabad,Mughlai,Coastal,₹500-₹1000,Biryani,1617
Zaiqa R,Pune,Rajasthani,Mughlai,₹100-₹300,Biryani,730
Spice,Mumbai,West Indian,Mughlai,₹200-₹500,Plain Dosa,1341
Zaiqa,Lucknow,Mughlai,Mughlai,₹500-₹1000,Sambar Vada,1865
Zaiqa C,Jaipur,Bengali,Coastal,₹700-₹1500,Solkadi,93
Relish,Kolkata,Seafood,Mughlai,₹500-₹1000,Kebabs,1395
Spice,Delhi,Bengali,Awadhi,₹300-₹700,Biryani,898
Zaiqa,Kolkata,Gujarati,Coastal,₹300-₹700,Kosha Mangsho,139
Feast J,Hyderabad,West Indian,Coastal,₹100-₹300,Kebabs,479
Swad,Mumbai,Rajasthani,Coastal,₹500-₹1000,Sambar Vada,1936
Dosa,Hyderabad,South Indian,Chaat,₹300-₹700,Solkadi,1429
Taj,Delhi,Bengali,Mughlai,₹200-₹500,Chicken Tikka,1477
Flavors,Delhi,Street Food,Awadhi,₹700-₹1500,Gulab Jamun,728
Flavors C,Bengaluru,Rajasthani,Coastal,₹1000-₹2000,Biryani,1197
Taj,Ahmedabad,Mughlai,Awadhi,₹1000-₹2000,Laal Maas,1403
Feast,Kolkata,Seafood,Coastal,₹300-₹700,Dhokla,961
Rasoi,Bengaluru,Rajasthani,Tandoori,₹200-₹500,Gulab Jamun,1551
Swad,Hyderabad,Hyderabadi,,₹100-₹300,Gulab Jamun,726
Zaiqa,Kolkata,Bengali,,₹100-₹300,Filter Coffee,560
Dosa,Jaipur,Street Food,Chaat,₹700-₹1500,Kosha Mangsho,594
Relish,Kolkata,Rajasthani,Chaat,₹100-₹300,Haleem,986
Relish,Lucknow,Gujarati,Mughlai,₹500-₹1000,Prawn Curry,1638
Zaiqa,Chennai,Bengali,Chaat,₹300-₹700,Chicken Tikka,1899
Feast,Jaipur,Gujarati,,₹500-₹1000,Dhokla,1904
Flavors,Kolkata,Hyderabadi,Coastal,₹200-₹500,Haleem,1488
Swad,Chennai,Bengali,,₹1000-₹2000,Pav Bhaji,420
Flavors,Delhi,Rajasthani,,₹300-₹700,Haleem,1938
Flavors,Hyderabad,Rajasthani,Awadhi,₹100-₹300,Haleem,1786
Feast,Bengaluru,Street Food,Awadhi,₹1000-₹2000,Solkadi,662
Royal V,Delhi,Gujarati,,₹100-₹300,Haleem,1102
Zaiqa,Kolkata,Rajasthani,Awadhi,₹1000-₹2000,Dhokla,758
Spice,Hyderabad,Hyderabadi,Tandoori,₹200-₹500,Chole Bhature,1270
Relish,Jaipur,West Indian,Awadhi,₹200-₹500,Kosha Mangsho,1792
Feast,Pune,North Indian,Awadhi,₹200-₹500,Dahi Vada,1495
Taj,Pune,Mughlai,Mughlai,₹300-₹700,Dahi Vada,233
Swad,Ahmedabad,Mughlai,Chaat,₹200-₹500,Solkadi,1691
Spice,Lucknow,Bengali,Chaat,₹500-₹1000,Dahi Vada,1264
Relish,Delhi,Bengali,Awadhi,₹200-₹500,Chole Bhature,1605
Flavors H,Lucknow,Mughlai,Tandoori,₹200-₹500,Chole Bhature,1855
